News Title,Paragraphs
Maguire rescues Ten Hag in stoppage-time as Man Utd draw with Porto,"Football

FC Porto
                          vs Manchester United. UEFA Europa League.

8:00pm, Thursday 3rd October 2024.

Estadio do Dragao.

Manchester United collapse in Europe once again as Porto came back from two goals down after early strikes from Marcus Rashford and Rasmus Hojlund; Samu Omorordion's double and Pepe steered Porto in front before Harry Maguire struck in stoppage-time to save his under-fire manager for now

@ZinnyBoswell

Friday 4 October 2024 00:07, UK

Harry Maguire's stoppage-time header rescued a point for Manchester United in Porto as they recovered from a stunning collapse to draw 3-3 in the Europa League despite Bruno Fernandes being sent off for the second game running.

United threw away an early two-goal lead after strikes from Marcus Rashford and Rasmus Hojlund and looked on course to have a nightmare evening when Fernandes, sent off against Tottenham, was given a second booking for a high foot nine minutes from time.

Porto struck twice in the space of seven minutes to go in level at the break as United wilted in Europe once again. Pepe poked in at the back post before Samu Omorodion, who nearly joined Chelsea in the summer, outmuscled Matthijs De Ligt to power in a header.

Rashford, the first-half's best player, was taken off at half-time for ""rotation"", Ten Hag said afterwards, leaving United blunt in attack, although he later suggested it was because of his defensive frailties.

Porto only needed five minutes after the restart to go ahead, Omorodion besting De Ligt again before scoring emphatically into the roof of the net. United escaped with a point at the death thanks to Maguire who nodded in Christian Eriksen's corner.

United, winless in four games, remain in the knockout play-off spots in 21st after two draws. Porto are also just in the same bracket in 24th after claiming their first point in the new Europa League format.

Ten Hag asked fans for patience once again after the game, telling TNT Sports: ""We will get there. Don't judge us in this moment, judge us at the end of the season. We are in the process, we will improve.""

Europa League fixtures

Europa League group tables

Europa League results

Get Sky Sports

United bosses backed Ten Hag after humiliation against Tottenham, but the nature of this performance only adds to the pressure on the manager. A tough trip to Aston Villa awaits on Sunday - live on Sky Sports.

Please use Chrome browser for a more accessible video player

Ten Hag failed to learn his lesson from resting Rashford at Crystal Palace for last month's stalemate just when he was finding form and it cost him in Porto.

Rashford was the star turn for United in the first half, scoring and assisting, so it was a surprise to see him being replaced by Alejandro Garnacho before the restart.

""We have to rotate,"" Ten Hag told TNT Sports, asked about the decision. ""We didn't start Garnacho, but he had a great game not only Sunday but the whole season.

""We go quickly with a turnaround to Villa and they have had a day longer to recover and we have an away game.""

Rashford had been the source of United's best attacking moments in the first half and finished with a game-high eight touches in the opposition box despite playing only 45 minutes.

The forward's loss was felt in the second half as Garnacho struggled against Porto right-back Joao Mario, who Rashford seemed to have the beating of.

Going the other way, the 26-year-old was less convincing. It was Joao Mario that delivered the cross for Porto's first goal, Rashford watching on a few yards back. Ten Hag later suggested this might have been behind the change.

Asked if the decision had anything to do with Rashford's role in Porto's first goal, Ten Hag said: ""As I say, I have to watch it back and I think over the left side definitely we didn't defend well tonight.

""Marcus also played a part in this but, as I say, it had to do with Garnacho and nothing against Rashy.""

For a manager under so much pressure right now, removing your best attacking player with the game level seems a perplexing decision. It appears to have backfired. Villa on Sunday becomes an even bigger game as a result.

The seven-minute collapse that led to Porto overturning the early two-goal deficit felt familiar for United in Europe. It was a common occurrence in last season's disastrous Champions League campaign that ended in them finishing bottom of their group.

Ten Hag's side conceded two goals in four minutes at Bayern Munich and Copenhagen, and then twice within 10 minutes home and away against Galatasaray. A year has passed, with five signings made for more than £200m, but the same chaotic team remains.

Once Pepe scored Porto's first, on the rebound after Andre Onana kept out Noussair Mazraoui's inadvertent header, it only felt a matter of time before the equaliser followed.

These are the concerning characteristics of the team that Ten Hag cannot hide from, regardless of his trophy return or the outcome of the game. This is an unsustainable style of football.

This is a team that never looks safe, even with a two-goal lead.

Ten Hag told TNT Sports after the game: ""We started very good, we dominated, scored two goals then we lost control.

""The start was good, the middle was not good then we finished very good. It's a tough place to go, we're coming back from 3-2 and we get the equaliser. The team has a strong character, but the middle part we have to improve.

""We need to be better on the ball, keep switching. We had good players, a good plan. We have to defend better. We had three clean sheets not a long time ago so we can defend very good, but we have to go back to those habits.""

He added: ""We will get there. Don't judge us in this moment, judge us at the end of the season. We are in the process, we will improve. We have had two seasons where we have reached finals, we will continue and fight.

""You see the spirit and the connection between the staff and the team. The players are together, they have a strong spirit and they want to achieve. We have a good mentality but in some defending parts we have to step up.""

Maguire was only on the pitch for his goal, it seemed, because De Ligt and Lisandro Martinez had endured such a torrid evening trying to deal with Omorodion. They were lost.

This was a performance that announced the 20-year-old on the European stage. He now has seven goals in his last five games and Porto appear to have a gem on their hands.

Omorodion was a threat from start to finish and tormented De Ligt, fresh from a difficult display against Spurs, with both his goals coming when up against the Netherlands defender.

Chelsea passed up on the chance to sign Omorodion from Atletico Madrid in the summer after contractual issues held up the transfer. They turned to Joao Felix instead as the player to unlock Conor Gallagher's move to the Spanish capital.

There may be a few wistful onlookers at Stamford Bridge now.

Tom from Southampton became a millionaire for free with Super 6! Could you be the next jackpot winner? Play for free!

© 2024 Sky UK"
Ten Hag explains shock Rashford sub,"Football

Man Utd boss Erik ten Hag on Marcus Rashford's substitution: ""We have to rotate. We go quickly with a turnaround to Villa and they have had a day longer to recover and we have an away game."" | Watch Aston Villa vs Man Utd live Sky Sports on Sunday; kick off 2pm

Thursday 3 October 2024 23:57, UK

Erik ten Hag revealed rotation was the reason for Marcus Rashford's surprise substitution at half-time in Man Utd's 3-3 draw with Porto in the Europa League on Thursday.

Rashford had been United's best performer in the first half, scoring his side's opener before teeing up Rasmus Hojlund as Ten Hag's side flew out of the traps and surged into a 2-0 lead.

Speaking on Sky Sports News about Rashford's first-half performance, former Wales striker Robert Earnshaw said: ""Marcus Rashford has been excellent.

""Every time he gets the ball on the left he is terrifying Porto. He looks the most dangerous player on the pitch for Man Utd.""

Former Wales striker Robert Earnshaw:


""The biggest danger to Porto in the first half was Rashford.


""It has to be injury because there is no way you would make that change.""


Sky Sports' Oliver Yew:


""Surely it's an injury to Marcus Rashford?


""He was excellent in the first half. Man Utd's best player by a mile.""

However, United were pegged back before the break as Porto pulled a goal back through Pepe and Samu Omorodion equalised before half-time.

Rashford didn't re-emerge for the second half and was replaced by Alejandro Garnacho, with speculation mounting that he must have picked up an injury. However, after the game Ten Hag explained the substitution was all part of the plan as he looked ahead to the Super Sunday clash with Aston Villa, live on Sky Sports.

""We have to rotate,"" Ten Hag said.

Stream Aston Villa vs Man Utd on Sky Sports with NOW

Get Sky Sports

Europa League results

Europa League table

""Garnacho, we didn't start him, but he had a great game not only Sunday but the whole season.

""We go quickly with a turnaround to Villa and they have had a day longer to recover and we have an away game.""

In his post-match press conference, Ten Hag added: ""Yeah, but (replacement Alejandro) Garnacho was my best player on Sunday by far and also in many other games,"" he said.

Please use Chrome browser for a more accessible video player

""I think in the season, as I assess it so far, he is bringing us so far the offensive threat by creating chances, assists, also scoring.

""Garnacho we also have to play as well and we have two very good players over that side.""

Asked if the decision had anything to do with Rashford's role in Porto's first goal, Ten Hag said: ""As I say, I have to watch it back and I think over the left side definitely we didn't defend well tonight.

""Marcus also played a part in this but, as I say, it had to do with Garnacho and nothing against Rashy.""

Erik ten Hag accepts Manchester United must do better than squandering a 2-0 lead.


“We started the game very good, scored two good goals, but then we lost control. The start was good, the middle part was no good, then we finished very good.


“It is a tough place to go and we are coming back from a 3-2, then get the equaliser, so it is good for the spirit.


“You see again that the team is willing, strong character, but the middle part, the defending we have to improve.


“We have to be better on the ball and defend better.”

Porto struck again soon after the restart through Omorodion's second of the game and United, who were reduced to 10 men with nine minutes left when captain Bruno Fernandes was sent off for the second successive game after collecting a second yellow card for a high boot, looked to be heading for another damaging defeat.

However, Ten Hag's side dug in to salvage a draw when substitute Harry Maguire headed in from a corner during stoppage time.

Despite the point, United, who remain in the knockout play-off spots in 21st after a second draw, are winless in four games and the nature of this performance only adds to the pressure on Ten Hag ahead of the tough trip to Aston Villa on Sunday.

Pressed on his future, the Dutchman remained defiant, saying: ""We will get there. Don't judge us in this moment, judge us at the end of the season.

""We are in the process, we will improve. We have two seasons now where we achieve finals, (so) just wait.

""We have to develop and progress this team. We will work and continue and we will fight.

""You see the spirit and the connection between the staff and the team, the players are together and want to achieve. We have that good mentality, but some defending parts we have to step up.""

Please use Chrome browser for a more accessible video player

United have now conceded three or more times in a match on 24 occasions in all competitions since Ten Hag took over - more than any Premier League side has in that period.

This was the third time they have conceded three in a game this season alone.

However, goal scorer Maguire went on to back Ten Hag to use his experience to pull United through this difficult spell.

""I have played for this club for six years and I know how it works,"" Maguire said.

""When you go through a bad spell, players come under pressure, but also the manager does.

""He [Ten Hag] is experienced enough, he has been in the game long enough and has been at this club long enough, so I am sure he has learnt how to deal with it.

""It is part and parcel of playing for or managing this club, part of the privilege that you have.""

Harry Maguire accepts Manchester United need to be more solid after allowing Porto to fight their way back from 2-0 down to draw 3-3 in the Europa League.


The defender said: “When you get 2-0 up away from home at a place like this, you have to be a bit more solid and secure.


“There were far too many gaps, too many crosses coming into the box and they ultimately punished us for it.


“We played really well with the ball in the first half, we just have to do more without it.


“It probably starts with belief – when we go 2-0 up and then we concede, it is just the belief that goes a bit between the boys that we can go on and win the game.


“It is something that we need to be aware of and focus on, to really make sure that when we do concede we get together, regroup and stick together, because that is part and parcel of football and something we have to do better.”

Tom from Southampton became a millionaire for free with Super 6! Could you be the next jackpot winner? Play for free!

© 2024 Sky UK"
Conference League favourites Chelsea stroll past Gent,"Football

Chelsea
                          vs AA Gent . UEFA Conference League.

8:00pm, Thursday 3rd October 2024.

Stamford Bridge.

Match report from the Conference League league phase match between Chelsea and KAA Gent at Stamford Bridge on Thursday night; goals from Renato Veiga, Pedri Neto, Christopher Nkunku and Kiernan Dewsbury-Hall help Enzo Maresca's Blues to a second successive 4-2 win

Digital football journalist
              @DanLong__

Thursday 3 October 2024 23:44, UK

Chelsea justified their tag as favourites to win the Conference League as they eased to a 4-2 win over Belgian side Gent at Stamford Bridge.

The largely comprehensive victory represented the fourth time in 10 games in all competitions this term the Blues have scored four or more goals, with each goal scored by a different player on Thursday night.

Gent forced Chelsea back with a high line at the start, restricting the Blues' options as they looked to get the ball forward. The first 10 minutes were frustrating as a result, then something clicked and the hosts edged in front when Renato Veiga headed in his first goal for the club after attacking a high ball hung up by Mykhailo Mudryk.

The Belgian side then changed tack and adopted a more conservative approach, allowing Chelsea the lion's share of the ball and putting bodies on the line to prevent them from doubling the lead, which looked an inevitability.

But when Enzo Maresca's side failed to do so, Gent grew in confidence. England U20 international Archie Brown surged forward and drove a low shot at Filip Jorgensen, while Andri Gudjohnsen - son of Chelsea legend Eidur - got between two defenders and flashed a shot millimetres over the crossbar.

The game sprung into life inside the first five minutes of the second half. Pedro Neto took advantage of a defensive lapse to lash in 38 seconds after the whistle, but Tsuyoshi Watanabe headed in a Gudjohnsen cross, which halved the deficit again, after a VAR check for offside.

Just past the hour, Christopher Nkunku arrived to smash in the third after Veiga struggled to get a shot away of his own and, seven minutes later, a tackle took Joao Felix's pass out of the path of Nkunku, but Kiernan Dewsbury-Hall was there to hit a shot that slipped through goalkeeper Davy Roef's hands and into the net.

How Chelsea and KAA Gent lined up

Match stats

Stream the Premier League on NOW

Get Sky Sports

Despite going 4-1 down, Gent rallied and did finally get another back to limit the damage late on, when ex-MK Dons forward Max Dean pulled the ball back for fellow substitute Omri Gandelman to slot home and sent the vocal travelling fans home happy.

Please use Chrome browser for a more accessible video player

Chelsea boss Enzo Maresca told TNT Sports:

""Good performance. It was a tough game and we approached it well very. It's a shame the second goal we conceded, we can avoid that.

""Every game is complicated. We have many things we can do better - attack better, defend better.

""The ones who play tonight it doesn't mean they won't play the next game.

""I know Kiernan very well. I know when you are the main player and then move to a big club it's not easy because you're not the main player. Sometimes you struggle a bit at the beginning so I was very happy for him.""

Chelsea goalscorer Kiernan Dewsbury-Hall told TNT Sports:

""I'm over the moon. I've been waiting for that moment since joining the club, to show everyone what my qualities are.

""Scoring the goal is an amazing feeling. I won't forget this night.

""I pride myself on working as hard as I can every day. I'd like to play more but it's my duty to make sure the manager has a decision to make. I feel fresh.

""I've loved it. You come through the door and expectations are through the roof. The standards are so high. It's so nice to play with players on your wavelength - top, top players.

""It's about learning and evolving. That's literally what I'm here for.

""He [Enzo Maresca] is a breath of fresh air. I was taken aback by him last year. Everything he did was passionate and motivated. You can see the lads are buying into it.""

Tom from Southampton became a millionaire for free with Super 6! Could you be the next jackpot winner? Play for free!

© 2024 Sky UK"
Lacazette scores wonder goal as Lyon punish Rangers in Europa League,"Football

Rangers
                          vs Lyon. UEFA Europa League.

8:00pm, Thursday 3rd October 2024.

Ibrox Stadium.

Match report as Alexandre Lacazette and Malick Fofana score two goals apiece 
in Lyon's 4-1 Europa League win against Rangers as the French side record their third consecutive victory at Ibrox

Thursday 3 October 2024 23:41, UK

Lyon captain Alexandre Lacazette scored a wonder goal as he and Malick Fofana scored twice in a punishing 4-1 Europa League defeat for Rangers at Ibrox.

James Tavernier spurned an early chance, before Vlacav Cerny missed a sitter from seven yards, only for Lyon to go in front moments later through Fofana's cool finish after Rayan Cherki's excellent close control and assist.

Rangers hit back almost instantaneously with Tom Lawrence getting his second goal in consecutive games before he ws replaced at half-time with an injury. The midfielder capitalised after Cyriel Dessers failed to convert following a disastrous Corentin Tolisso header back toward goal.

But Lyon were back in front before the game reached the midway point after Connor Barron's blind pass was latched on to by Belgian teenager Fofana, who dribbled towards the area and squared for Lacazette to calmly slot home.

The highlight of the first half was still to come with Lacazette scoring a screamer from outside of the box.

The Lyon skipper cut across from the left before unleashing a right-footed effort that flew across Jack Butland and into the top corner in first-half added time.

Lyon captain Alexandre Lacazette took his goal tally for the club to 183 after scoring twice in the 4-1 Europa League win over Rangers.

Fofana slotted home the fourth early in the second half after more great work from Cherki, and though Lyon remained unsteady in defence at times, their attacking threat was constant, with Duje Caleta-Car hitting the bar with a header before Rangers substitute Neraysho Kasanwirjo cleared Tolisso's header off the line.

Europa League fixtures

Europa League group tables

Europa League results

Get Sky Sports

Rangers kept going forward and Lyon goalkeeper Lucas Perri made a good save from a Kieran Dowell volley. But Butland was forced to prevent substitute Said Benrahma making it five late on with a fine block, and Lyon's threat did not end until the final whistle confirmed a chastening defeat for the Ibrox men.

Rangers goalkeeper Jack Butland to TNT Sports:

""They have got some serious individual quality. The disappointment for us is that we gave them too many opportunities to showcase that.

""I wish we could do it over again because I think, you hate to say it, but there was a different approach that we needed or there wasn't quite enough from us in those moments to cut out the attack, make a foul stop them from getting in their stride.

""So the disappointment is we gave them some easy opportunities to showcase some serious individual talent. In that sense, it probably feels like one that looks worse than it is, but we caused our own issues.""

Please use Chrome browser for a more accessible video player

Rangers manager Philippe Clement:

""I think we started the game with good intentions, with good intensity, with good quality also.

""To put fire in the stands, to have an amazing European evening, when you have two 100 per cent chances, the first two chances of the game, you need to kill them off to get a special European night.

""We did a lot of good things, but the goalkeeper made a really good save for the chance of Tav, but he could have put the ball also sideways, where we have two players totally free to tap the ball in, and Vaclav is also a tap-in to a free goal.

""So I don't think we can do much more than creating those kinds of chances, I don't think you can create better chances than that, but you need to kill them off. Against teams with this quality, you don't get so many chances, so that's disappointing.

""But 1-4 is a really harsh result, if you see. In the end, it's the same amount of chances that both teams have, and we had more in the first half, but it was 1-3 with half-time, and that's the difference in quality. So it's a big working point for us.""

Sky Sports' Kris Boyd:

""The front three of Lacazette, Cherki and Fofana ripped Rangers apart - they were outstanding. Rangers struggled with their pace and trickery. It was four, it could have been more.

""It's hard to believe Rangers have lost 4-1 in Europe and it's not even the worst result in Europe for a Scottish team this week.

Lyon have won their last three matches at Ibrox following previous victories in 2007 and 2021.

""Rangers don't control games at their tempo. It's either really slow or hectic. The turnover in possession for Rangers was really poor. That is something to build on.

""It's a big couple of weeks coming up for Rangers.""

Tom from Southampton became a millionaire for free with Super 6! Could you be the next jackpot winner? Play for free!

© 2024 Sky UK"
Carsley: Maguire still has England role to play despite axe,"Football

England
                          vs Greece. UEFA Nations League Group B2.

7:45pm, Thursday 10th October 2024.

Wembley Stadium.

Sorry, this blog is currently unavailable. Please try again later.

© 2024 Sky UK"
Scotland well beaten by Bangladesh in Women's T20 World Cup debut,"Cricket

Watch every game of the 2024 ICC Women's T20 World Cup live on Sky Sports; England face Bangladesh in their tournament opener on Saturday - live on Sky Sports Cricket from 2.30pm (first ball, 3pm)

Thursday 3 October 2024 21:57, UK

Please use Chrome browser for a more accessible video player

Scotland slipped to a 16-run defeat to Bangladesh in their first ever Women's T20 World Cup match and the 2024 tournament opener in the searing heat of Sharjah.

Saskia Horley (3-13) picked up three wickets at the back end of the Bangladesh innings to limit them to 119-7 from their 20 overs and though Sarah Bryce anchored the chase with a fine 49 not out from 52 balls, Scotland lost regular wickets at the other end to fall short of their victory target.

It's Bangladesh's first T20 World Cup win for 10 years, spanning 16 matches, since beating Ireland when hosting the 2014 tournament. They next face Heather Knight's England on Sunday - live on Sky Sports Cricket from 2.30pm (first ball, 3pm).

After Bangladesh won the toss and elected to bat first, Shathi Rani (29 off 32) and Sobhana Mostary (36 off 38) showed good intent to see the Tigers off to a positive start.

Scotland captain Kathryn Bryce claimed the team's first T20 World Cup wicket when picking up Murshida Khatun for 12, while spinners Olivia Bell (1-23), Katherine Fraser (1-23) and Abtaha Maqsood (0-24) bowled tidily to stem the scoring.

Please use Chrome browser for a more accessible video player

Fraser saw off Shathi, while a run out did for Taj Nehar four balls later, gone for a duck. A sharp stumping from Sarah Bryce ended Mostary's knock, while she would claim another late in the innings - Ritu Moni (5) falling off a far more flukey ricochet onto the stumps - as part of Horley's late haul.

Scotland were left to chase 120, but they could have been left with an even more modest target but for putting down three catches in a sloppy fielding effort.

Scorecard: Scotland vs Bangladesh

Scotland vs Bangladesh - as it happened

Watch the Women's T20 World Cup on Sky

Stream Sky Sports with NOW

Sarah Bryce was brilliant in carrying her bat through the innings but sadly lacked support at the other end, with sister Kathryn Bryce (11) and Ailsa Lister (11) the only other two batters into double figures as Scotland limped to defeat in sweltering conditions - failing to find the boundary for the final 54 balls of the innings.

Ritu was the pick of the Bangladesh bowlers, the seamer claiming 2-15 from her four overs.

Bangladesh look to build on their opening win with a tricky second match against England on Saturday, Heather Knight's side playing their first match of the tournament.

Scotland are next in action a day later when taking on the West Indies on Sunday - both matches are live on Sky Sports Cricket from 2.30pm ahead of the first ball from 3pm.

Watch every match of the 2024 Women's T20 World Cup live on Sky Sports, concluding with the final in Dubai on Sunday October 20.

© 2024 Sky UK"
Nelson: Beterbiev and Bivol clash to decide 'perfect warrior',"Blockbuster October 12 bill features Artur Beterbiev-Dmitry Bivol undisputed light-heavyweight showdown, the Fabio Wardley versus Frazer Clarke British heavyweight championship rematch, Chris Eubank Jr and Ben Whittaker in separate fights and more, live on Sky Sports Box Office

Boxing Expert &amp; Columnist

Thursday 3 October 2024 16:59, UK

Please use Chrome browser for a more accessible video player

As Artur Beterbiev and Dmitry Bivol fight to decide light-heavyweight supremacy, the Fabio Wardley versus Frazer Clarke heavyweight rematch is sure to be 'brutal'. Sky Sports' boxing expert Johnny Nelson appraises the big October 12 bill.

I believe Artur Beterbiev can end Dmitry Bivol's unbeaten run.

Beterbiev boxed Oleksandr Usyk in the amateurs and the style of fight was relentless. He was determined. Just wouldn't let go and I think he'll do exactly the same again.

In a dictionary, if you had the perfect boxers, the perfect warriors, it would be a picture of one of these two fighters. They are the perfect warrior. No one's going to take a backwards step.

One's going to try and box and outfox, and one's going to try and walk through iron. It is going to be such a fight. But I'm going Beterbiev because I think he's the real deal.

He's a brilliant offensive fighter - hardly takes a backwards step. He's not baffled by any skullduggery.

I think Bivol will try and outbox him but he won't. Beterbiev will cover up. He'll take the shots. He'll see what you've got. You'll hit him with a shot and he'll instantly react with a shot. He'll cover up for a split second then turn it on and he'll throw three, four, five shot combinations and not leave you alone.

Live boxing on Sky Sports

@SkySportsBoxing on Twitter

Sky Sports Boxing YouTube

Sky Sports Boxing Facebook

So if you've got any holes in your defence. He's punching through them, and he punches like a mule kicks.

Please use Chrome browser for a more accessible video player

For Fabio Wardley and Frazer Clarke I don't think we can expect anything else but round 13. This fight rolls on. We did a Gloves are Off with them last week and even though they don't dislike each other that professionalism is there. Their careers, as far as Clarke's concerned, depend on it. Because he's thinking I can't afford to lose to this guy.

This fight was just brutal from the off. Wardley - constant, consistent pressure. Clarke, inexperienced as a professional but still stuck it out and dug in deep. They were absolutely exhausted. But the pace they had for heavyweights was mad.

When Clarke went down, he had to dig deep in his soul and think I'm not losing.

It takes a lot for a fighter to think I'm going to go through all that again. That's why I call it round 13.

Please use Chrome browser for a more accessible video player

Clarke's got to understand what he did wrong. He's got to understand where he slipped up.

He had to answer a question that he'd never been asked before as a professional - could he box at that pace as a professional fighter?

Wardley's been there, he's been in the trenches. As far as he's concerned the pressure's on Clarke more than it is on him.

Wardley believes this fight doesn't go the distance so he's going for the stoppage.

Both fighters are very capable of stopping each other, we saw that. Wardley probably looked the more concussive puncher of the two but I've got to give credit to Clarke. He was going through something new.

It's going to be an exciting fight.

Please use Chrome browser for a more accessible video player

Chris Eubank Jr is one of the very few fighters who is in such a powerful position to have no titles. You want to watch him box.

That air of mystique about him is not about what he says, it's about what he doesn't say. He's very matter-of-fact. Very much like his father, there's something about him that you either love or loathe.

I personally don't think we've seen the best of him.

Please use Chrome browser for a more accessible video player

Ben Whittaker reminds me of Prince Naseem Hamed.

Ben Whittaker has everything going for him. He says it. He walks it. He talks it. He can box, he can be flash. He can get your imagination going. You're looking thinking I want to see him get hit.

If he can take this to world level, Ben Whittaker will be our next superstar.

Watch the full Beterbiev-Bivol & Wardley-Clarke II bill live on Sky Sports Box Office on October 12

© 2024 Sky UK"
WTA/ATP Tour,"Watch

Subscribe to Sky Sports to watch live, or stream on NOW. You'll need a subscription that includes Sky Sports Tennis.

The China Open climax sees Jannik Sinner and Carlos Alcaraz get set for a second final meeting. Sinner aims to defend the crown, while Alcaraz looks to avenge last year's defeat. (02.10)

© 2024 Sky UK"
Asia Pacific Amateur Golf,"Watch

Subscribe to Sky Sports to watch live, or stream on NOW. You'll need a subscription that includes Sky Sports Golf.

Relive the 2014 Players Championship at TPC Sawgrass in Ponte Vedra Beach, Florida. With the previous winner Tiger Woods sidelined by injury, a new champion would be crowned here.

© 2024 Sky UK"
Papers: Ratcliffe flying in for Villa game as Ten Hag speculation grows,"Football

Plus: Barcelona and Juventus target an ambitious £50m move for Manchester United winger Alejandro Garnacho; Newcastle set to revisit a move for England international Marc Guehi in January and Lee Carsley opens the door for Jadon Sancho Three Lions return

Thursday 3 October 2024 23:41, UK

The top stories and transfer rumours from Friday's newspapers...

DAILY MIRROR

Manchester United co-owner Sir Jim Ratcliffe is flying in for the upcoming Premier League clash against Aston Villa, as speculation grows around Erik ten Hag's future at Old Trafford.

Jadon Sancho has been given fresh hope regarding his England future by interim boss Lee Carsley.

Please use Chrome browser for a more accessible video player

Dele Alli has suffered another setback on his return to football after Everton boss Sean Dyche admitted he has had a ""slight muscle strain"".

THE SUN

Barcelona and Juventus are targeting a shock £50m swoop for Manchester United winger Alejandro Garnacho.

Transfer Centre LIVE!

Stream Sky Sports with NOW

Download the Sky Sports app

Get Sky Sports on WhatsApp

Paris Saint-Germain have stepped up their bid to sign Liverpool star Mohamed Salah on a three-year deal, with the Egyptian set to snub a move to Saudi Arabia.

DAILY MAIL

Newcastle are likely to revisit a deal for Crystal Palace defender Marc Guehi in January, with the expectation that the Eagles will be more willing to sell.

Please use Chrome browser for a more accessible video player

Fresh doubts regarding Gary Lineker's future as BBC Match of the Day host have emerged which could suggest his time on the show is coming to an end.

THE GUARDIAN

England all-rounder Chris Woakes has admitted he needs to get better overseas ahead of the tour in Pakistan.

England's Charlie Dean has admitted the team are soaking cricket balls in water in order to replicate the conditions they will face in the Women's T20 World Cup.

THE ATHLETIC

Leeds United midfielder Ilia Gruev has suffered a ""significant"" knee injury during the recent 1-1 draw with Norwich City and is set for an extended period on the sidelines.

West Ham United striker Niclas Fullkrug will miss the upcoming clash with Ipswich due to a calf injury.

Newcastle will make a decision regarding the future of St James' Park Stadium in early 2025.

DAILY EXPRESS

Manchester United have issued an official apology after fans were left stranded at the airport ahead of the Europa League clash against Porto.

Tom from Southampton became a millionaire for free with Super 6! Could you be the next jackpot winner? Play for free!

© 2024 Sky UK"
